english,analytical_skills,domain_skills,quantitative_ability,college,performance,cluster_kmeans,cluster_agglomerative,cluster_dbscan
4.05393765787741,4.190710673328167,4.293401705724534,4.189385887515703,4.318820558770089,BP,0,1,0
3.965785349873597,4.315316177781936,4.116082044059275,4.0117664947859435,4.3495464861190865,BP,1,0,0
4.340222942728079,4.185517035043095,4.2405908918576305,4.065482981506875,4.3041101372347175,BP,0,1,0
4.308877562890687,3.9723189941118715,3.9846718294771835,3.9412575729085906,4.36216400557763,BP,1,1,-1
4.096674171439684,4.250406855080898,4.2313748098161525,4.017221570187325,4.356452383554451,BP,0,0,0
4.247615123727601,4.394576517560338,4.371547563517995,4.159958032345512,4.393007787183116,BP,0,1,0
4.172091365927022,3.846991225260794,4.102458927060279,4.101661415836396,4.390573340642348,LP,1,0,0
4.317478383974964,4.461265683450145,4.051035563200711,4.102569722162514,4.333361462692601,BP,0,1,0
4.459287487851778,3.9007876400913055,4.070794640475297,4.032539705928491,4.443827035579329,LP,0,0,-1
4.066235036800925,4.334816367729448,4.318534510273496,4.293084108538331,4.4550059939931925,BP,0,1,0
4.38113926158555,3.88516744664925,3.871306914603593,4.129759149791831,4.477336814478207,MP,0,0,-1
4.394250388632854,4.422545896974029,4.431421757562677,4.243148695015222,4.3812763532831775,BP,0,1,0
4.211469166789032,4.185045083286402,4.000563758967506,3.837096601053071,4.327482447821753,MP,1,0,-1
4.104033782821728,4.075379791304754,4.35387816096482,4.076127300604601,4.292193097315078,BP,1,1,-1
4.357480966643077,4.260163586048941,4.232605626096888,4.070058552637242,4.482814210361571,BP,0,1,0
3.9176239465946585,3.915774101371809,3.7163973586226704,3.8684739129937693,4.3528552573736015,BP,1,0,-1
4.0717665806314125,4.299118557197415,3.9765681231732763,4.145503323927915,4.472019673200586,BP,0,1,0
4.253781112025324,4.39577750270821,3.9957494855896987,4.127481617807192,4.399375273008495,MP,0,1,0
4.375817014154787,4.399416242251085,4.239089258131395,4.194535051485658,4.502177235804343,BP,0,1,0
4.259310784552467,4.3651680082416116,4.302991041160292,4.198601148145534,4.437185365294189,BP,0,1,0
4.166268557723831,3.94725589568484,3.910144585920082,3.983934129470258,4.359994022809307,MP,1,0,-1
3.941400413069745,4.0908383410398965,4.273113884219136,4.062714152851691,4.533029508210409,BP,0,2,-1
4.066396200293411,4.3478886226269475,4.211424293153071,4.097234992211224,4.339467020255086,BP,0,0,0
4.078426166861964,4.249638345036187,4.363346139358427,4.271336545395384,4.50663815492382,BP,0,1,0
4.230373412734569,4.45514444280333,4.200685422212146,4.241356657602577,4.456283405280375,BP,0,1,0
4.1429967625454145,4.052136953766547,4.199411356068535,4.055303349601628,4.466329485805673,MP,0,2,0
4.1298858501456355,4.332662444626813,4.267927445614373,4.105173565304043,4.423608340540379,BP,0,1,0
4.159296141909906,4.446201399148399,4.071556317141263,4.182584836009872,4.352426164897591,MP,0,1,0
